公司简称,A股代码,所属行业,
美康生物,300439,C制造业,
运达科技,300440,I信息技术,
鲍斯股份,300441,C制造业,
普丽盛,300442,C制造业,
金雷股份,300443,C制造业,
双杰电气,300444,C制造业,
康斯特,300445,C制造业,
乐凯新材,300446,C制造业,
全信股份,300447,C制造业,
浩云科技,300448,I信息技术,
汉邦高科,300449,C制造业,
先导智能,300450,C制造业,
创业慧康,300451,I信息技术,
山河药辅,300452,C制造业,
三鑫医疗,300453,C制造业,
深信服,300454,I信息技术,
康拓红外,300455,C制造业,
耐威科技,300456,C制造业,
赢合科技,300457,C制造业,
全志科技,300458,C制造业,
金科文化,300459,C制造业,
惠伦晶体,300460,C制造业,
田中精机,300461,C制造业,
华铭智能,300462,C制造业,
迈克生物,300463,C制造业,
星徽精密,300464,C制造业,
高伟达,300465,I信息技术,
赛摩电气,300466,C制造业,
迅游科技,300467,I信息技术,
四方精创,300468,I信息技术,
信息发展,300469,I信息技术,
日机密封,300470,C制造业,
厚普股份,300471,C制造业,
新元科技,300472,C制造业,
德尔股份,300473,C制造业,
景嘉微,300474,C制造业,
聚隆科技,300475,C制造业,
胜宏科技,300476,C制造业,
合纵科技,300477,C制造业,
杭州高新,300478,C制造业,
神思电子,300479,C制造业,
光力科技,300480,C制造业,
濮阳惠成,300481,C制造业,
万孚生物,300482,C制造业,
沃施股份,300483,C制造业,
蓝海华腾,300484,C制造业,
赛升药业,300485,C制造业,
东杰智能,300486,C制造业,
蓝晓科技,300487,C制造业,
恒锋工具,300488,C制造业,
中飞股份,300489,C制造业,
华自科技,300490,C制造业,
通合科技,300491,C制造业,
山鼎设计,300492,M科研服务,
润欣科技,300493,I信息技术,
盛天网络,300494,I信息技术,
美尚生态,300495,N公共环保,
中科创达,300496,I信息技术,
富祥股份,300497,C制造业,
温氏股份,300498,A农林牧渔,
高澜股份,300499,C制造业,
启迪设计,300500,M科研服务,
海顺新材,300501,C制造业,
新易盛,300502,C制造业,
昊志机电,300503,C制造业,
天邑股份,300504,C制造业,
川金诺,300505,C制造业,
名家汇,300506,E建筑业,
苏奥传感,300507,C制造业,
维宏股份,300508,I信息技术,
新美星,300509,C制造业,
金冠股份,300510,C制造业,
雪榕生物,300511,A农林牧渔,
中亚股份,300512,C制造业,
恒实科技,300513,I信息技术,
友讯达,300514,C制造业,
三德科技,300515,C制造业,
久之洋,300516,C制造业,
海波重科,300517,E建筑业,
盛讯达,300518,I信息技术,
新光药业,300519,C制造业,
科大国创,300520,I信息技术,
爱司凯,300521,C制造业,
世名科技,300522,C制造业,
辰安科技,300523,I信息技术,
博思软件,300525,I信息技术,
中潜股份,300526,C制造业,
中国应急,300527,C制造业,
幸福蓝海,300528,R文化传播,
健帆生物,300529,C制造业,
达志科技,300530,C制造业,
优博讯,300531,C制造业,
今天国际,300532,I信息技术,
冰川网络,300533,I信息技术,
陇神戎发,300534,C制造业,
达威股份,300535,C制造业,
农尚环境,300536,E建筑业,
广信材料,300537,C制造业,
同益股份,300538,F批发零售,
横河模具,300539,C制造业,
深冷股份,300540,C制造业,
先进数通,300541,I信息技术,
新晨科技,300542,I信息技术,
朗科智能,300543,C制造业,
联得装备,300545,C制造业,
雄帝科技,300546,C制造业,
川环科技,300547,C制造业,
博创科技,300548,C制造业,
优德精密,300549,C制造业,
和仁科技,300550,I信息技术,
古鳌科技,300551,C制造业,
万集科技,300552,I信息技术,
集智股份,300553,C制造业,
三超新材,300554,C制造业,
路通视信,300555,C制造业,
丝路视觉,300556,I信息技术,
理工光科,300557,C制造业,
贝达药业,300558,C制造业,
佳发教育,300559,I信息技术,
中富通,300560,I信息技术,
汇金科技,300561,I信息技术,
乐心医疗,300562,C制造业,
神宇股份,300563,C制造业,
科信技术,300565,C制造业,
激智科技,300566,C制造业,
精测电子,300567,C制造业,
星源材质,300568,C制造业,
天能重工,300569,C制造业,
太辰光,300570,C制造业,
平治信息,300571,I信息技术,
安车检测,300572,C制造业,
兴齐眼药,300573,C制造业,
中旗股份,300575,C制造业,
容大感光,300576,C制造业,
开润股份,300577,C制造业,
会畅通讯,300578,I信息技术,
数字认证,300579,I信息技术,
贝斯特,300580,C制造业,
晨曦航空,300581,C制造业,
英飞特,300582,C制造业,
赛托生物,300583,C制造业,
海辰药业,300584,C制造业,
奥联电子,300585,C制造业,
美联新材,300586,C制造业,
天铁股份,300587,C制造业,
熙菱信息,300588,I信息技术,
江龙船艇,300589,C制造业,
移为通信,300590,C制造业,
万里马,300591,C制造业,
华凯创意,300592,R文化传播,
新雷能,300593,C制造业,
欧普康视,300595,C制造业,
利安隆,300596,C制造业,
吉大通信,300597,I信息技术,
诚迈科技,300598,I信息技术,
雄塑科技,300599,C制造业,
瑞特股份,300600,C制造业,
康泰生物,300601,C制造业,
飞荣达,300602,C制造业,
立昂技术,300603,I信息技术,
长川科技,300604,C制造业,
恒锋信息,300605,I信息技术,
金太阳,300606,C制造业,
拓斯达,300607,C制造业,
思特奇,300608,I信息技术,
汇纳科技,300609,I信息技术,
晨化股份,300610,C制造业,
美力科技,300611,C制造业,
宣亚国际,300612,L商务服务,
富瀚微,300613,I信息技术,
欣天科技,300615,C制造业,
尚品宅配,300616,C制造业,
安靠智电,300617,C制造业,
寒锐钴业,300618,C制造业,
金银河,300619,C制造业,
光库科技,300620,C制造业,
维业股份,300621,E建筑业,
博士眼镜,300622,F批发零售,
捷捷微电,300623,C制造业,
万兴科技,300624,I信息技术,
三雄极光,300625,C制造业,
华瑞股份,300626,C制造业,
华测导航,300627,C制造业,
亿联网络,300628,C制造业,
新劲刚,300629,C制造业,
普利制药,300630,C制造业,
久吾高科,300631,C制造业,
光莆股份,300632,C制造业,
开立医疗,300633,C制造业,
彩讯股份,300634,I信息技术,
达安股份,300635,M科研服务,
同和药业,300636,C制造业,
扬帆新材,300637,C制造业,
广和通,300638,C制造业,
凯普生物,300639,C制造业,
德艺文创,300640,R文化传播,
正丹股份,300641,C制造业,
透景生命,300642,C制造业,
万通智控,300643,C制造业,
南京聚隆,300644,C制造业,
正元智慧,300645,I信息技术,
超频三,300647,C制造业,
星云股份,300648,C制造业,
杭州园林,300649,M科研服务,
太龙照明,300650,C制造业,
金陵体育,300651,C制造业,
雷迪克,300652,C制造业,
正海生物,300653,C制造业,
世纪天鸿,300654,R文化传播,
晶瑞股份,300655,C制造业,
民德电子,300656,C制造业,
弘信电子,300657,C制造业,
延江股份,300658,C制造业,
中孚信息,300659,I信息技术,
江苏雷利,300660,C制造业,
圣邦股份,300661,C制造业,
科锐国际,300662,L商务服务,
科蓝软件,300663,I信息技术,
鹏鹞环保,300664,N公共环保,
飞鹿股份,300665,C制造业,
江丰电子,300666,C制造业,
必创科技,300667,C制造业,
杰恩设计,300668,M科研服务,
沪宁股份,300669,C制造业,
大烨智能,300670,C制造业,
富满电子,300671,I信息技术,
国科微,300672,C制造业,
佩蒂股份,300673,C制造业,
宇信科技,300674,I信息技术,
建科院,300675,M科研服务,
华大基因,300676,M科研服务,
英科医疗,300677,C制造业,
中科信息,300678,I信息技术,
电连技术,300679,C制造业,
隆盛科技,300680,C制造业,
英搏尔,300681,C制造业,
朗新科技,300682,I信息技术,
海特生物,300683,C制造业,
中石科技,300684,C制造业,
艾德生物,300685,C制造业,
智动力,300686,C制造业,
赛意信息,300687,I信息技术,
创业黑马,300688,L商务服务,
澄天伟业,300689,C制造业,
双一科技,300690,C制造业,
联合光电,300691,C制造业,
中环环保,300692,N公共环保,
盛弘股份,300693,C制造业,
蠡湖股份,300694,C制造业,
兆丰股份,300695,C制造业,
爱乐达,300696,C制造业,
电工合金,300697,C制造业,
万马科技,300698,C制造业,
光威复材,300699,C制造业,
岱勒新材,300700,C制造业,
森霸传感,300701,C制造业,
天宇股份,300702,C制造业,
创源文化,300703,C制造业,
九典制药,300705,C制造业,
阿石创,300706,C制造业,
威唐工业,300707,C制造业,
聚灿光电,300708,C制造业,
精研科技,300709,C制造业,
万隆光电,300710,C制造业,
广哈通信,300711,C制造业,
永福股份,300712,M科研服务,
英可瑞,300713,C制造业,
凯伦股份,300715,C制造业,
国立科技,300716,C制造业,
华信新材,300717,C制造业,
长盛轴承,300718,C制造业,
安达维尔,300719,C制造业,
海川智能,300720,C制造业,
怡达股份,300721,C制造业,
新余国科,300722,C制造业,
一品红,300723,C制造业,
捷佳伟创,300724,C制造业,
药石科技,300725,C制造业,
宏达电子,300726,C制造业,
润禾材料,300727,C制造业,
乐歌股份,300729,C制造业,
科创信息,300730,I信息技术,
科创新源,300731,C制造业,
设研院,300732,M科研服务,
西菱动力,300733,C制造业,
光弘科技,300735,C制造业,
百邦科技,300736,O居民服务,
科顺股份,300737,C制造业,
奥飞数据,300738,I信息技术,
明阳电路,300739,C制造业,
御家汇,300740,C制造业,
华宝股份,300741,C制造业,
越博动力,300742,C制造业,
天地数码,300743,C制造业,
欣锐科技,300745,C制造业,
汉嘉设计,300746,M科研服务,
锐科激光,300747,C制造业,
金力永磁,300748,C制造业,
顶固集创,300749,C制造业,
宁德时代,300750,C制造业,
迈为股份,300751,C制造业,
隆利科技,300752,C制造业,
爱朋医疗,300753,C制造业,
华致酒行,300755,F批发零售,
中山金马,300756,C制造业,
罗博特科,300757,C制造业,
康龙化成,300759,M科研服务,
迈瑞医疗,300760,C制造业,
立华股份,300761,A农林牧渔,
