公司简称,A股代码,所属行业,
中交地产,000736,K房地产,
*ST南风,000737,C制造业,
航发控制,000738,C制造业,
普洛药业,000739,C制造业,
国海证券,000750,J金融业,
锌业股份,000751,C制造业,
西藏发展,000752,C制造业,
漳州发展,000753,F批发零售,
山西路桥,000755,G运输仓储,
新华制药,000756,C制造业,
浩物股份,000757,C制造业,
中色股份,000758,B采矿业,
中百集团,000759,F批发零售,
斯太尔,000760,C制造业,
本钢板材,000761,C制造业,
西藏矿业,000762,B采矿业,
通化金马,000766,C制造业,
漳泽电力,000767,D水电煤气,
中航飞机,000768,C制造业,
广发证券,000776,J金融业,
中核科技,000777,C制造业,
新兴铸管,000778,C制造业,
三毛派神,000779,C制造业,
平庄能源,000780,B采矿业,
美达股份,000782,C制造业,
长江证券,000783,J金融业,
武汉中商,000785,F批发零售,
北新建材,000786,C制造业,
北大医药,000788,C制造业,
万年青,000789,C制造业,
泰合健康,000790,C制造业,
甘肃电投,000791,D水电煤气,
盐湖股份,000792,C制造业,
华闻传媒,000793,R文化传播,
英洛华,000795,C制造业,
凯撒旅游,000796,L商务服务,
中国武夷,000797,K房地产,
中水渔业,000798,A农林牧渔,
酒鬼酒,000799,C制造业,
一汽轿车,000800,C制造业,
四川九洲,000801,C制造业,
北京文化,000802,R文化传播,
金宇车城,000803,C制造业,
银河生物,000806,C制造业,
云铝股份,000807,C制造业,
铁岭新城,000809,N公共环保,
创维数字,000810,C制造业,
冰轮环境,000811,C制造业,
陕西金叶,000812,C制造业,
德展健康,000813,C制造业,
美利云,000815,C制造业,
*ST慧业,000816,C制造业,
航锦科技,000818,C制造业,
岳阳兴长,000819,C制造业,
神雾节能,000820,C制造业,
京山轻机,000821,C制造业,
山东海化,000822,C制造业,
超声电子,000823,C制造业,
太钢不锈,000825,C制造业,
启迪桑德,000826,N公共环保,
东莞控股,000828,G运输仓储,
天音控股,000829,F批发零售,
鲁西化工,000830,C制造业,
五矿稀土,000831,C制造业,
粤桂股份,000833,C制造业,
长城动漫,000835,I信息技术,
富通鑫茂,000836,C制造业,
秦川机床,000837,C制造业,
财信发展,000838,K房地产,
中信国安,000839,I信息技术,
承德露露,000848,C制造业,
华茂股份,000850,C制造业,
高鸿股份,000851,F批发零售,
石化机械,000852,C制造业,
冀东装备,000856,C制造业,
五粮液,000858,C制造业,
国风塑业,000859,C制造业,
顺鑫农业,000860,C制造业,
海印股份,000861,L商务服务,
银星能源,000862,D水电煤气,
三湘印象,000863,K房地产,
安凯客车,000868,C制造业,
张裕Ａ,000869,C制造业,
吉电股份,000875,D水电煤气,
新希望,000876,C制造业,
天山股份,000877,C制造业,
云南铜业,000878,C制造业,
潍柴重机,000880,C制造业,
中广核技,000881,C制造业,
华联股份,000882,L商务服务,
湖北能源,000883,D水电煤气,
城发环境,000885,G运输仓储,
海南高速,000886,K房地产,
中鼎股份,000887,C制造业,
峨眉山Ａ,000888,N公共环保,
中嘉博创,000889,I信息技术,
法尔胜,000890,C制造业,
欢瑞世纪,000892,R文化传播,
*ST东凌,000893,C制造业,
双汇发展,000895,C制造业,
津滨发展,000897,K房地产,
鞍钢股份,000898,C制造业,
赣能股份,000899,D水电煤气,
现代投资,000900,G运输仓储,
航天科技,000901,C制造业,
新洋丰,000902,C制造业,
云内动力,000903,C制造业,
厦门港务,000905,G运输仓储,
浙商中拓,000906,F批发零售,
景峰医药,000908,C制造业,
数源科技,000909,S综合,
大亚圣象,000910,C制造业,
南宁糖业,000911,C制造业,
*ST天化,000912,C制造业,
钱江摩托,000913,C制造业,
山大华特,000915,C制造业,
电广传媒,000917,I信息技术,
嘉凯城,000918,K房地产,
金陵药业,000919,C制造业,
南方汇通,000920,C制造业,
海信家电,000921,C制造业,
佳电股份,000922,C制造业,
河北宣工,000923,B采矿业,
众合科技,000925,C制造业,
福星股份,000926,K房地产,
一汽夏利,000927,C制造业,
中钢国际,000928,E建筑业,
兰州黄河,000929,C制造业,
中粮生化,000930,C制造业,
中关村,000931,C制造业,
华菱钢铁,000932,C制造业,
神火股份,000933,C制造业,
四川双马,000935,C制造业,
华西股份,000936,C制造业,
冀中能源,000937,B采矿业,
紫光股份,000938,C制造业,
*ST凯迪,000939,D水电煤气,
南天信息,000948,I信息技术,
新乡化纤,000949,C制造业,
重药控股,000950,F批发零售,
中国重汽,000951,C制造业,
广济药业,000952,C制造业,
ST河化,000953,C制造业,
欣龙控股,000955,C制造业,
中通客车,000957,C制造业,
东方能源,000958,D水电煤气,
首钢股份,000959,C制造业,
锡业股份,000960,C制造业,
中南建设,000961,K房地产,
东方钽业,000962,C制造业,
华东医药,000963,F批发零售,
天保基建,000965,K房地产,
长源电力,000966,D水电煤气,
盈峰环境,000967,C制造业,
蓝焰控股,000968,B采矿业,
安泰科技,000969,C制造业,
中科三环,000970,C制造业,
高升控股,000971,I信息技术,
ST中基,000972,C制造业,
佛塑科技,000973,C制造业,
银泰资源,000975,B采矿业,
华铁股份,000976,C制造业,
浪潮信息,000977,C制造业,
桂林旅游,000978,N公共环保,
众泰汽车,000980,C制造业,
银亿股份,000981,C制造业,
*ST中绒,000982,C制造业,
西山煤电,000983,B采矿业,
大庆华科,000985,C制造业,
越秀金控,000987,J金融业,
华工科技,000988,C制造业,
九芝堂,000989,C制造业,
诚志股份,000990,C制造业,
闽东电力,000993,D水电煤气,
*ST皇台,000995,C制造业,
中国中期,000996,F批发零售,
新大陆,000997,I信息技术,
隆平高科,000998,A农林牧渔,
华润三九,000999,C制造业,
宗申动力,001696,C制造业,
招商港口,001872,G运输仓储,
豫能控股,001896,D水电煤气,
招商公路,001965,G运输仓储,
招商蛇口,001979,K房地产,
新和成,002001,C制造业,
鸿达兴业,002002,C制造业,
伟星股份,002003,C制造业,
华邦健康,002004,C制造业,
德豪润达,002005,C制造业,
精功科技,002006,C制造业,
华兰生物,002007,C制造业,
大族激光,002008,C制造业,
天奇股份,002009,C制造业,
传化智联,002010,L商务服务,
盾安环境,002011,C制造业,
凯恩股份,002012,C制造业,
中航机电,002013,C制造业,
永新股份,002014,C制造业,
霞客环保,002015,C制造业,
世荣兆业,002016,K房地产,
东信和平,002017,C制造业,
*ST华信,002018,F批发零售,
亿帆医药,002019,C制造业,
京新药业,002020,C制造业,
中捷资源,002021,C制造业,
科华生物,002022,C制造业,
海特高新,002023,C制造业,
苏宁易购,002024,F批发零售,
航天电器,002025,C制造业,
山东威达,002026,C制造业,
分众传媒,002027,L商务服务,
思源电气,002028,C制造业,
七匹狼,002029,C制造业,
达安基因,002030,C制造业,
巨轮智能,002031,C制造业,
苏泊尔,002032,C制造业,
丽江旅游,002033,N公共环保,
旺能环境,002034,N公共环保,
华帝股份,002035,C制造业,
联创电子,002036,C制造业,
久联发展,002037,C制造业,
双鹭药业,002038,C制造业,
黔源电力,002039,D水电煤气,
南京港,002040,G运输仓储,
登海种业,002041,A农林牧渔,
华孚时尚,002042,C制造业,
兔宝宝,002043,C制造业,
美年健康,002044,Q卫生,
国光电器,002045,C制造业,
轴研科技,002046,C制造业,
宝鹰股份,002047,E建筑业,
宁波华翔,002048,C制造业,
紫光国微,002049,C制造业,
三花智控,002050,C制造业,
中工国际,002051,E建筑业,
同洲电子,002052,C制造业,
云南能投,002053,C制造业,
德美化工,002054,C制造业,
得润电子,002055,C制造业,
横店东磁,002056,C制造业,
中钢天源,002057,C制造业,
威尔泰,002058,C制造业,
云南旅游,002059,N公共环保,
粤水电,002060,E建筑业,
浙江交科,002061,E建筑业,
宏润建设,002062,E建筑业,
远光软件,002063,I信息技术,
华峰氨纶,002064,C制造业,
东华软件,002065,I信息技术,
瑞泰科技,002066,C制造业,
景兴纸业,002067,C制造业,
黑猫股份,002068,C制造业,
獐子岛,002069,A农林牧渔,
*ST众和,002070,C制造业,
长城影视,002071,R文化传播,
凯瑞德,002072,I信息技术,
软控股份,002073,C制造业,
国轩高科,002074,C制造业,
沙钢股份,002075,C制造业,
雪莱特,002076,C制造业,
大港股份,002077,K房地产,
太阳纸业,002078,C制造业,
苏州固锝,002079,C制造业,
中材科技,002080,C制造业,
金螳螂,002081,E建筑业,
万邦德,002082,C制造业,
孚日股份,002083,C制造业,
海鸥住工,002084,C制造业,
万丰奥威,002085,C制造业,
ST东海洋,002086,A农林牧渔,
新野纺织,002087,C制造业,
鲁阳节能,002088,C制造业,
新海宜,002089,C制造业,
金智科技,002090,C制造业,
江苏国泰,002091,F批发零售,
中泰化学,002092,C制造业,
国脉科技,002093,I信息技术,
青岛金王,002094,C制造业,
生意宝,002095,I信息技术,
南岭民爆,002096,C制造业,
山河智能,002097,C制造业,
浔兴股份,002098,C制造业,
海翔药业,002099,C制造业,
